"","hurricane","sea.dev","dev.hurricane","sea.dev.hurricane","sea.hurricane","all.low_26","all.mid_45","all.high_60","all.max_80"
"96",0,0.106951871657754,0.106951871657754,0.106951871657754,0.284037558685446,0.254010695187166,0.377005347593583,0.144385026737968,0.427807486631016
"97",0,0.106951871657754,0.0935828877005348,0.0935828877005348,0.26056338028169,0.245989304812834,0.401069518716578,0.17379679144385,0.414438502673797
"98",0,0.106951871657754,0.0962566844919786,0.0962566844919786,0.265258215962441,0.251336898395722,0.390374331550802,0.168449197860963,0.441176470588235
"99",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.264705882352941,0.406417112299465,0.149732620320856,0.433155080213904
"100",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.274647887323944,0.229946524064171,0.382352941176471,0.176470588235294,0.443850267379679
"101",0,0.106951871657754,0.101604278074866,0.101604278074866,0.28169014084507,0.245989304812834,0.368983957219251,0.160427807486631,0.446524064171123
"102",0,0.106951871657754,0.0935828877005348,0.0935828877005348,0.267605633802817,0.25668449197861,0.371657754010695,0.168449197860963,0.425133689839572
"103",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.248663101604278,0.377005347593583,0.155080213903743,0.446524064171123
"104",0,0.106951871657754,0.106951871657754,0.106951871657754,0.2981220657277,0.254010695187166,0.401069518716578,0.165775401069519,0.414438502673797
"105",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.28169014084507,0.24331550802139,0.411764705882353,0.160427807486631,0.419786096256685
"106",0,0.106951871657754,0.0962566844919786,0.0962566844919786,0.272300469483568,0.264705882352941,0.411764705882353,0.141711229946524,0.454545454545455
"107",0,0.106951871657754,0.106951871657754,0.106951871657754,0.293427230046948,0.25668449197861,0.379679144385027,0.157754010695187,0.454545454545455
"108",0,0.106951871657754,0.106951871657754,0.106951871657754,0.272300469483568,0.245989304812834,0.411764705882353,0.171122994652406,0.425133689839572
"109",0,0.106951871657754,0.0935828877005348,0.0935828877005348,0.274647887323944,0.259358288770053,0.387700534759358,0.168449197860963,0.433155080213904
"110",0,0.106951871657754,0.10427807486631,0.10427807486631,0.295774647887324,0.262032085561497,0.403743315508021,0.165775401069519,0.435828877005348
"111",0,0.106951871657754,0.101604278074866,0.101604278074866,0.293427230046948,0.262032085561497,0.385026737967914,0.163101604278075,0.425133689839572
"112",0,0.106951871657754,0.0989304812834225,0.0989304812834225,0.288732394366197,0.262032085561497,0.406417112299465,0.171122994652406,0.441176470588235
"113",0,0.106951871657754,0.0882352941176471,0.0882352941176471,0.26056338028169,0.262032085561497,0.422459893048128,0.152406417112299,0.435828877005348
"114",0,0.106951871657754,0.10427807486631,0.10427807486631,0.267605633802817,0.235294117647059,0.419786096256685,0.168449197860963,0.427807486631016
